job_id,mol_id,job_type,orca_version,route_line,charge,mult,inp_path,inp_sha256,out_path,out_sha256,xyz_path,xyz_sha256,gbw_path,hess_path,normal_termination,timestamp_utc
cui2_h2o_anion_opt_freq,cui2_h2o_anion,opt_freq,6.1.1,! B3LYP D3BJ def2-TZVP RIJCOSX def2/J TightSCF TightOpt DefGrid3 Opt Freq,-1,1,/workspace/results_setA/cui2_h2o_anion_opt_freq.out,2d6590608a38436061e1f263dbbc5d9408e8ef2ec5c2600f2497adae002f7151,/workspace/results_setB/cui2_h2o_anion_opt_freq.out,2d6590608a38436061e1f263dbbc5d9408e8ef2ec5c2600f2497adae002f7151,/root/orca_calc_setB/calc/cui2_h2o_anion_opt_freq.xyz,,/root/orca_calc_setB/calc/cui2_h2o_anion_opt_freq.gbw,/root/orca_calc_setB/calc/cui2_h2o_anion_opt_freq.hess,True,2026-04-27T20:27:34Z
cui2_methanol_anion_opt_freq,cui2_methanol_anion,opt_freq,6.1.1,! B3LYP D3BJ def2-TZVP RIJCOSX def2/J TightSCF TightOpt DefGrid3 Opt Freq,-1,1,/root/orca_calc_setB/calc/cui2_methanol_anion_opt_freq.inp,d53e88774c9d2c6d39202779f942415af80fd5082ff7d96ae020072652577611,/workspace/results_setB/cui2_methanol_anion_opt_freq.out,d46ef5f204c88f068357610f426e5584093a6f4567c554a4bf7eb86ed50a996a,/root/orca_calc_setB/calc/cui2_methanol_anion_opt_freq.xyz,f19a75416e12d89e1d9a994eeee630fdedd0c886f08875c036be59ac31377354,/root/orca_calc_setB/calc/cui2_methanol_anion_opt_freq.gbw,/root/orca_calc_setB/calc/cui2_methanol_anion_opt_freq.hess,True,2026-04-27T20:45:17Z
cui2_methanol_anion_smd_sp,cui2_methanol_anion,smd_sp,6.1.1,! B3LYP D3BJ def2-TZVP RIJCOSX def2/J TightSCF DefGrid3 SP,-1,1,/root/orca_calc_setB/calc/cui2_methanol_anion_smd_sp.inp,9d080b8075e407f874b8f0a907261324de2b659d433f4dc7c4c292eb2c4368dc,/workspace/results_setB/cui2_methanol_anion_smd_sp.out,67419df6a9a594621f8027a1bf1a36e37cd1a54f2288a8c1168f36a97c10283d,/root/orca_calc_setB/calc/cui2_methanol_anion_smd_sp.xyz,,/root/orca_calc_setB/calc/cui2_methanol_anion_smd_sp.gbw,/root/orca_calc_setB/calc/cui2_methanol_anion_smd_sp.hess,True,2026-04-27T20:45:39Z
cui2_phenol_O_anion_opt_freq,cui2_phenol_O_anion,opt_freq,6.1.1,! B3LYP D3BJ def2-TZVP RIJCOSX def2/J TightSCF TightOpt DefGrid3 Opt Freq,-1,1,/root/orca_calc_setB/calc/cui2_phenol_O_anion_opt_freq.inp,e494e1d593a08fc62affee9607143b8989a98abeb1623c08147eba43d7928deb,/workspace/results_setB/cui2_phenol_O_anion_opt_freq.out,c24dd42785d2a09729bd4096ccefd99b8f49caf19b19a257972a01c9545d34d9,/root/orca_calc_setB/calc/cui2_phenol_O_anion_opt_freq.xyz,024d073a8ba0c288f66142c07c960df9b85d2b25877b1d8c552b511ffe388410,/root/orca_calc_setB/calc/cui2_phenol_O_anion_opt_freq.gbw,/root/orca_calc_setB/calc/cui2_phenol_O_anion_opt_freq.hess,True,2026-04-27T21:23:33Z
cui2_phenol_O_anion_smd_sp,cui2_phenol_O_anion,smd_sp,6.1.1,! B3LYP D3BJ def2-TZVP RIJCOSX def2/J TightSCF DefGrid3 SP,-1,1,/root/orca_calc_setB/calc/cui2_phenol_O_anion_smd_sp.inp,1c50e9028a9bbd7e97a2b90fafab75e86de7402e215bdbc540e53023d40b0537,/workspace/results_setB/cui2_phenol_O_anion_smd_sp.out,192e097e5b933c919c8b2ed4a5d89b15288050ec775ee89da1f7357969e9489f,/root/orca_calc_setB/calc/cui2_phenol_O_anion_smd_sp.xyz,,/root/orca_calc_setB/calc/cui2_phenol_O_anion_smd_sp.gbw,/root/orca_calc_setB/calc/cui2_phenol_O_anion_smd_sp.hess,True,2026-04-27T21:24:21Z
cui2_phenol_pi_anion_opt_freq,cui2_phenol_pi_anion,opt_freq,6.1.1,! B3LYP D3BJ def2-TZVP RIJCOSX def2/J TightSCF TightOpt DefGrid3 Opt Freq,-1,1,/root/orca_calc_setB/calc/cui2_phenol_pi_anion_opt_freq.inp,2b36fc1a4964a3a1f8157e53fc22cdc87b2ebaa0b254aad67e5d01cc3533d233,/workspace/results_setB/cui2_phenol_pi_anion_opt_freq.out,6320b23d6d01c05f3233a62050ab1fd83835da979e02de119ee4d4b07a3088be,/root/orca_calc_setB/calc/cui2_phenol_pi_anion_opt_freq.xyz,ec6fa8deae801417f24693a81cfa364db592792527e996ae702a4342097aa07a,/root/orca_calc_setB/calc/cui2_phenol_pi_anion_opt_freq.gbw,/root/orca_calc_setB/calc/cui2_phenol_pi_anion_opt_freq.hess,True,2026-04-27T22:12:51Z
cui2_phenol_pi_anion_smd_sp,cui2_phenol_pi_anion,smd_sp,6.1.1,! B3LYP D3BJ def2-TZVP RIJCOSX def2/J TightSCF DefGrid3 SP,-1,1,/root/orca_calc_setB/calc/cui2_phenol_pi_anion_smd_sp.inp,5dde5ef89a7d82e851f0edd7c7890eafe9237a29016d1696930b08e745e05d8c,/workspace/results_setB/cui2_phenol_pi_anion_smd_sp.out,95a22dad8de559a4b456f5e15e6d1e4af5d1950b53986460b366db0c0137d2f8,/root/orca_calc_setB/calc/cui2_phenol_pi_anion_smd_sp.xyz,,/root/orca_calc_setB/calc/cui2_phenol_pi_anion_smd_sp.gbw,/root/orca_calc_setB/calc/cui2_phenol_pi_anion_smd_sp.hess,True,2026-04-27T22:13:42Z
cui2_guaiacol_phenolicO_anion_opt_freq,cui2_guaiacol_phenolicO_anion,opt_freq,6.1.1,! B3LYP D3BJ def2-TZVP RIJCOSX def2/J TightSCF TightOpt DefGrid3 Opt Freq,-1,1,/root/orca_calc_setB/calc/cui2_guaiacol_phenolicO_anion_opt_freq.inp,2a533d48c83f634f74ca34d7ed962b6d37e698d0991cbd981f2ab8925c2bb295,/workspace/results_setB/cui2_guaiacol_phenolicO_anion_opt_freq.out,7905ffd72f7bac55b610652f0f2ec86983084dc141a19057f2d1acb47bb68cbb,/root/orca_calc_setB/calc/cui2_guaiacol_phenolicO_anion_opt_freq.xyz,836813ab45c69e0213ccd350d400d9b1624a7f8afb3c9d5d7bb4ff7d9e801a51,/root/orca_calc_setB/calc/cui2_guaiacol_phenolicO_anion_opt_freq.gbw,/root/orca_calc_setB/calc/cui2_guaiacol_phenolicO_anion_opt_freq.hess,True,2026-04-27T23:32:32Z
cui2_guaiacol_phenolicO_anion_smd_sp,cui2_guaiacol_phenolicO_anion,smd_sp,6.1.1,! B3LYP D3BJ def2-TZVP RIJCOSX def2/J TightSCF DefGrid3 SP,-1,1,/root/orca_calc_setB/calc/cui2_guaiacol_phenolicO_anion_smd_sp.inp,f3e2a8c68ef960972db00dfb5be0db825960749ec1a28c5d5b429f7bae4c0092,/workspace/results_setB/cui2_guaiacol_phenolicO_anion_smd_sp.out,4e85a0945a50e3503566f3bcc46b97c9de2a88f518d0fc4ba99b5cf9f7ce7cf2,/root/orca_calc_setB/calc/cui2_guaiacol_phenolicO_anion_smd_sp.xyz,,/root/orca_calc_setB/calc/cui2_guaiacol_phenolicO_anion_smd_sp.gbw,/root/orca_calc_setB/calc/cui2_guaiacol_phenolicO_anion_smd_sp.hess,True,2026-04-27T23:33:44Z
cui2_guaiacol_methoxyO_anion_opt_freq,cui2_guaiacol_methoxyO_anion,opt_freq,6.1.1,! B3LYP D3BJ def2-TZVP RIJCOSX def2/J TightSCF TightOpt DefGrid3 Opt Freq,-1,1,/root/orca_calc_setB/calc/cui2_guaiacol_methoxyO_anion_opt_freq.inp,86c28f6e41cea4d1662377014895d48817788175fd57503b95af2e6d4f1e2899,/workspace/results_setB/cui2_guaiacol_methoxyO_anion_opt_freq.out,ae0539e989de2e2e54c47c690512c4b4abd4ca116b2dbe775cfa25f7d55149a8,/root/orca_calc_setB/calc/cui2_guaiacol_methoxyO_anion_opt_freq.xyz,7286db1a1d582938fdf93e6bfc19c565121a64bd7aa050709623e18cd5428c58,/root/orca_calc_setB/calc/cui2_guaiacol_methoxyO_anion_opt_freq.gbw,/root/orca_calc_setB/calc/cui2_guaiacol_methoxyO_anion_opt_freq.hess,True,2026-04-28T01:06:24Z
cui2_guaiacol_methoxyO_anion_smd_sp,cui2_guaiacol_methoxyO_anion,smd_sp,6.1.1,! B3LYP D3BJ def2-TZVP RIJCOSX def2/J TightSCF DefGrid3 SP,-1,1,/root/orca_calc_setB/calc/cui2_guaiacol_methoxyO_anion_smd_sp.inp,2567d5d065ed1c25d1f6d2354cd16f2305b882de75487b158e0568cb4c458a1a,/workspace/results_setB/cui2_guaiacol_methoxyO_anion_smd_sp.out,16bb8b85b0f61d16980d3c1358fe6b09cb00d341b2312db3fbacdec831abcc69,/root/orca_calc_setB/calc/cui2_guaiacol_methoxyO_anion_smd_sp.xyz,,/root/orca_calc_setB/calc/cui2_guaiacol_methoxyO_anion_smd_sp.gbw,/root/orca_calc_setB/calc/cui2_guaiacol_methoxyO_anion_smd_sp.hess,True,2026-04-28T01:07:39Z
