species_id,gas_E_Eh,gas_file,gas_sha256,smd_E_Eh,smd_file,smd_sha256,delta_G_solv_Eh,delta_G_solv_kcal,geometry_consistent,geometry_note
cu_phenol_pi,-1947.646484271142,/home/runner/workspace/results_pod/results/cu_phenol_pi_opt_freq.out,03a02783002a998c5a1ec8ab46423c7d8ffd3c1156bf4efb1580d1a395bc8663,-1947.749474504219,/home/runner/workspace/results_pod/results/cu_phenol_pi_smd_sp.out,6d021575dd34c301a8f8aafbad111cc111ee1f2b6f246dc4726ebdc5332894d6,-0.102990233,-64.6273,True,Geometries identical (max_diff=0.0000 Å)
cui_guaiacol_meO_a53,,,,,,,,,,SMD calculation not yet run
cui_guaiacol_ph,,,,,,,,,,SMD calculation not yet run
cui_guaiacol_ph_tzvpp,,,,,,,,,,SMD calculation not yet run
cui_guaiacol_ph_tzvpp_a53,,,,,,,,,,SMD calculation not yet run
cui_guaiacol_phenolicO_a53,,,,,,,,,,SMD calculation not yet run
cui_methanol_O,,,,,,,,,,SMD calculation not yet run
cui_methanol_O_a53,,,,,,,,,,SMD calculation not yet run
cui_methanol_O_tzvpp,,,,,,,,,,SMD calculation not yet run
cui_methanol_O_tzvpp_a53,,,,,,,,,,SMD calculation not yet run
cui_monomer,,,,,,,,,,SMD calculation not yet run
cui_monomer_a53,,,,,,,,,,SMD calculation not yet run
cui_monomer_tzvpp,,,,,,,,,,SMD calculation not yet run
cui_monomer_tzvpp_a53,,,,,,,,,,SMD calculation not yet run
cui_phenol_O,,,,,,,,,,SMD calculation not yet run
cui_phenol_O_a53,,,,,,,,,,SMD calculation not yet run
cui_phenol_O_tzvpp,,,,,,,,,,SMD calculation not yet run
cui_phenol_O_tzvpp_a53,,,,,,,,,,SMD calculation not yet run
cui_phenol_pi,,,,,,,,,,SMD calculation not yet run
cui_phenol_pi_a53,,,,,,,,,,SMD calculation not yet run
cui_phenol_pi_tzvpp,,,,,,,,,,SMD calculation not yet run
cui_phenol_pi_tzvpp_a53,,,,,,,,,,SMD calculation not yet run
cyclohexanol,-311.041444019796,/home/runner/workspace/results/tier_a/cyclohexanol.out,bc73557a96227c33db814138f6878dd7d78f876157dc7cdaf5871aa1a0c8460e,-311.048927559698,/home/runner/workspace/results_pod/results_tiera/cyclohexanol_smd.out,7913fea5f030b28f8ea6ba2c4b00a992a0181ec362a387650f1e79ffedbb4ad0,-0.00748354,-4.696,True,Geometries identical (max_diff=0.0000 Å)
galacturonate_anion,-303.723252272561,/home/runner/workspace/results_pod/results/galacturonate_anion_opt_freq.out,4d7922ba1005eaee6c42404924bbdd3738642561b9e9e2bfeecd9e68062aa0cc,-303.846686201136,/home/runner/workspace/results_pod/results/galacturonate_anion_smd_sp.out,b9e07089be24f561bd79bba3a6de28e8827ea11284f27d46e154986f9f157774,-0.123433929,-77.456,True,Geometries identical (max_diff=0.0000 Å)
galacturonate_neutral,-304.285968844158,/home/runner/workspace/results_pod/results/galacturonate_neutral_opt_freq.out,624f1aa945ab4333c5a2a8a25eb3f4646cf80bfb90ce9f731b2bf93b251dadd2,-304.305513597833,/home/runner/workspace/results_pod/results/galacturonate_neutral_smd_sp.out,4c71b385ebec97646b0055d66f03e05f1b13e5d4ed42cb64f7501fd560127cf1,-0.019544754,-12.2645,True,Geometries identical (max_diff=0.0000 Å)
guaiacol,-421.948365866302,/home/runner/workspace/results_pod/results/guaiacol_opt_freq.out,ac8b619fe895daaf3bc9940567e5fadcbaea8bb48eae36389899d64b850fbe1f,-421.954641717134,/home/runner/workspace/results_pod/results/guaiacol_smd_sp.out,e055a483db8ca24241ae2e7012c8dc5ed3ba152b23fde26e30240ad75a67175c,-0.006275851,-3.9382,True,Geometries identical (max_diff=0.0000 Å)
meta_methoxyphenol,-421.946681656249,/home/runner/workspace/results/tier_a/meta_methoxyphenol.out,f77bd3dc4783b8e23e6ddfbe2331466ed990c4625b1717d94a95214e135f72d5,-421.957157857914,/home/runner/workspace/results/tier_a/meta_methoxyphenol_smd.out,3bc466cd110fcc8af753d3c31f7e3362375efdf06ad9c0fa9b4f52dc87008e8f,-0.010476202,-6.5739,True,Geometries identical (max_diff=0.0000 Å)
methanol,-115.71268832755,/home/runner/workspace/results_pod/results/methanol_opt_freq.out,5b45fd205ec414c396d76d1e2ee9a7cd73f73058f3078ddaa4a3319885094772,-115.719645554346,/home/runner/workspace/results_pod/results/methanol_smd_sp.out,51351ee51951af77cef1920eeb0884db7b263a427a279379fe31ac3aae6aaa54,-0.006957227,-4.3657,True,Geometries identical (max_diff=0.0000 Å)
para_methoxyphenol,-421.944151122207,/home/runner/workspace/results/tier_a/para_methoxyphenol.out,f3acdf577c712b8eef85b8da969bab0221b44fe9e58a2d02b0b1efab8937b5b6,-421.954290540616,/home/runner/workspace/results/tier_a/para_methoxyphenol_smd.out,1054b6eb5d33b12be785e6b2b2094e2cc3ea4fed76136787182f9f67f24cf3b0,-0.010139418,-6.3626,True,Geometries identical (max_diff=0.0000 Å)
phenol,-307.382866914125,/home/runner/workspace/results_pod/results/phenol_opt_freq.out,c06d15b4fc3954863bcca727182b567602e128f2f99ff1033dccd89eec313663,-307.389693566008,/home/runner/workspace/results_pod/results/phenol_smd_sp.out,5d8eb81eeebcaa60981dbe7ffe769a2ec5a0cb09a17042ee696541829cb102b9,-0.006826652,-4.2838,True,Geometries identical (max_diff=0.0000 Å)
